record_id,snapshot_date,facility_id,facility_type,department,item_id,item_category,item_subcategory,criticality_level,unit_of_measure,shelf_life_days,avg_daily_usage_last_30d,avg_daily_usage_last_90d,usage_cv_last_90d,demand_trend,seasonal_demand_factor,recent_usage_spike,current_stock_on_hand,safety_stock_level,days_of_supply_on_hand,stock_as_pct_of_safety_level,reorder_point_days,days_until_next_scheduled_order,primary_vendor_id,vendor_reliability_score,contracted_lead_time_days,actual_avg_lead_time_last_6m,lead_time_variability_days,active_po_in_transit,backorder_frequency_last_12m,sole_source_item,substitution_available,facility_census_pct,pandemic_or_surge_flag,days_since_last_stockout,stockout_event
SC00000024,2023-02-02,FAC0145,Ambulatory Surgery Center,Sterile Processing,ITEM00124,Lab Consumables,PCR Consumables,Medium,Each,211,53.7,53.6,0.396,Increasing,1.11,No,113,1325,2.1,8.5,12.1,21,VND078,4.1,11,10.9,0.2,Yes,2,No,No,64.3,No,114,1
SC00000025,2021-03-19,FAC0014,Specialty Hospital,Med-Surg,ITEM00280,IV & Fluids,Crystalloid Solutions,Critical,Each,47,53.3,42.7,0.167,Stable,0.92,No,1492,576,28.0,259.0,9.6,7,VND034,3.5,4,4.4,2.2,Yes,0,No,No,51.6,No,49,0
SC00000026,2024-11-28,FAC0124,Specialty Hospital,Med-Surg,ITEM00160,Medications,Oral Medications,Medium,Each,616,4.2,3.9,0.052,Increasing,1.21,No,76,43,18.2,176.7,7.0,7,VND022,4.9,6,5.7,0.3,Yes,1,No,Yes,61.5,No,484,0
SC00000027,2021-11-19,FAC0056,Specialty Hospital,Med-Surg,ITEM00402,Medications,Biologics & Specialty,Critical,Box,38,38.0,29.4,0.418,Stable,0.8,No,2360,1138,62.1,207.4,23.0,7,VND020,2.6,18,19.7,0.3,No,0,No,Yes,63.4,No,96,0
SC00000028,2023-08-18,FAC0162,Acute Care Hospital,Laboratory,ITEM00021,Surgical Supplies,Sutures & Staples,Medium,Case,994,17.3,15.0,0.36,Decreasing,1.01,No,140,155,8.1,90.3,3.0,14,VND057,3.1,2,1.8,0.2,Yes,0,No,Yes,90.7,No,122,0
SC00000029,2022-05-10,FAC0039,Ambulatory Surgery Center,Sterile Processing,ITEM00295,Lab Consumables,Slides & Stains,High,Box,279,56.4,47.1,0.111,Increasing,1.15,No,51,1583,0.9,3.2,14.2,28,VND024,3.1,10,11.7,0.5,Yes,2,No,Yes,43.1,No,29,1
SC00000030,2024-11-21,FAC0002,Outpatient Clinic,Procedure Room,ITEM00148,Medications,Oral Medications,High,Box,523,16.9,23.8,0.321,Decreasing,1.08,No,46,367,2.7,12.5,5.6,14,VND034,3.5,4,3.4,0.2,Yes,1,No,No,62.1,No,59,1
SC00000031,2023-08-07,FAC0111,Acute Care Hospital,Emergency Department,ITEM00298,Lab Consumables,Collection Tubes,Medium,Each,284,74.6,77.4,0.207,Decreasing,0.95,No,2141,401,28.7,533.9,5.1,1,VND034,3.5,4,3.9,0.2,No,1,No,No,92.3,No,30,0
SC00000032,2021-08-12,FAC0089,Specialty Hospital,Emergency Department,ITEM00308,IV & Fluids,Blood Products,High,Box,354,36.4,34.8,0.209,Stable,0.94,No,84,682,2.3,12.3,9.9,14,VND030,3.1,7,7.1,0.8,Yes,1,No,Yes,86.7,No,147,0
SC00000033,2024-04-10,FAC0195,Ambulatory Surgery Center,Pre/Post-Op,ITEM00240,Wound Care,Negative Pressure Therapy,Low,Roll,109,20.9,20.8,0.133,Stable,1.04,Yes,713,364,34.1,195.9,19.8,7,VND073,4.4,14,17.0,1.8,No,3,No,Yes,20.1,No,67,1
SC00000034,2023-12-07,FAC0197,Outpatient Clinic,Outpatient Pharmacy,ITEM00395,Surgical Supplies,Needles & Syringes,Medium,Vial,540,30.0,31.5,0.143,Stable,1.09,No,156,1485,5.2,10.5,30.8,28,VND015,3.4,27,28.5,1.3,No,1,No,Yes,71.4,No,15,1
SC00000035,2023-11-02,FAC0061,Long-Term Care,Oncology,ITEM00197,IV & Fluids,Crystalloid Solutions,Medium,Bag,126,9.6,8.0,0.103,Stable,1.11,No,601,101,62.6,595.0,7.0,14,VND034,3.5,4,5.0,1.0,No,0,No,Yes,20.0,No,120,0
SC00000036,2021-10-28,FAC0145,Ambulatory Surgery Center,Operating Room,ITEM00308,IV & Fluids,Blood Products,High,Box,354,62.2,62.8,0.364,Stable,0.89,Yes,1281,2198,20.6,58.3,24.6,14,VND020,2.6,18,22.1,0.5,No,2,No,Yes,59.7,No,21,0
SC00000037,2024-12-10,FAC0197,Outpatient Clinic,Nursing Station,ITEM00047,IV & Fluids,Irrigation Solutions,Critical,Roll,600,12.6,13.2,0.552,Stable,1.11,No,14,416,1.1,3.4,18.0,7,VND073,4.4,14,13.8,1.2,Yes,0,No,Yes,77.3,No,384,0
SC00000038,2023-08-11,FAC0014,Specialty Hospital,ICU,ITEM00236,Surgical Supplies,Sutures & Staples,Medium,Pair,1253,32.7,33.4,0.071,Stable,1.03,No,661,960,20.2,68.9,18.7,14,VND020,2.6,18,16.9,0.8,No,3,No,Yes,60.8,No,157,0
SC00000039,2023-07-21,FAC0021,Acute Care Hospital,Laboratory,ITEM00199,Medications,IV Medications,High,Each,378,11.4,14.0,0.072,Stable,0.86,No,107,353,9.4,30.3,6.8,28,VND034,3.5,4,3.1,1.7,No,0,No,No,68.3,No,29,1
SC00000040,2024-12-23,FAC0131,Specialty Hospital,ICU,ITEM00069,Surgical Supplies,Sponges & Gauze,Medium,Each,828,15.6,16.7,0.496,Stable,0.95,No,42,202,2.7,20.8,8.2,7,VND035,3.4,7,7.2,0.0,No,4,Yes,Yes,52.5,No,191,1
SC00000041,2023-04-19,FAC0006,Ambulatory Surgery Center,Sterile Processing,ITEM00435,Lab Consumables,PCR Consumables,Medium,Vial,167,28.3,29.7,0.249,Stable,1.04,No,229,222,8.1,103.2,5.1,7,VND081,3.2,3,3.3,0.8,No,2,No,Yes,44.1,No,57,0
SC00000042,2022-11-16,FAC0024,Ambulatory Surgery Center,Pre/Post-Op,ITEM00443,IV & Fluids,Irrigation Solutions,Critical,Case,284,32.3,26.2,0.221,Stable,0.97,No,1563,849,48.4,184.1,14.2,14,VND055,4.1,11,11.2,0.0,Yes,0,No,Yes,67.2,No,297,0
SC00000043,2022-11-24,FAC0197,Outpatient Clinic,Outpatient Pharmacy,ITEM00441,Medications,IV Medications,High,Roll,276,15.6,15.2,0.074,Increasing,1.26,No,479,362,30.7,132.3,12.7,14,VND032,3.6,10,10.3,0.4,No,0,No,Yes,50.9,No,77,0
SC00000044,2023-11-27,FAC0187,Outpatient Clinic,Outpatient Pharmacy,ITEM00285,Lab Consumables,Collection Tubes,High,Vial,85,63.3,49.3,0.137,Stable,0.89,No,120,897,1.9,13.4,10.7,14,VND042,4.4,6,6.7,2.0,No,1,No,Yes,76.5,No,178,0
SC00000045,2021-01-25,FAC0147,Acute Care Hospital,Oncology,ITEM00431,IV & Fluids,Irrigation Solutions,Medium,Box,463,19.1,19.4,0.325,Stable,0.96,No,59,524,3.1,11.3,17.4,21,VND053,3.1,13,15.3,1.1,No,0,No,Yes,39.1,No,2,1
SC00000046,2023-10-13,FAC0056,Specialty Hospital,Emergency Department,ITEM00097,Lab Consumables,Reagents & Test Kits,Medium,Vial,252,118.5,128.7,0.235,Increasing,1.13,Yes,296,2294,2.5,12.9,7.1,21,VND054,3.4,5,4.0,2.1,Yes,1,No,Yes,82.0,Yes,32,1
SC00000047,2024-09-16,FAC0196,Acute Care Hospital,ICU,ITEM00151,IV & Fluids,TPN Components,Critical,Box,533,115.7,145.7,0.068,Stable,0.79,No,3841,4590,33.2,83.7,17.2,7,VND073,4.4,14,13.9,0.3,No,2,No,No,68.0,No,178,0
SC00000048,2023-01-18,FAC0101,Outpatient Clinic,Procedure Room,ITEM00040,PPE,Masks & Respirators,High,Case,928,38.2,42.5,0.06,Stable,0.94,No,57,446,1.5,12.8,5.9,7,VND061,2.3,4,3.5,0.4,Yes,0,No,No,64.2,No,3,0
SC00000049,2022-01-14,FAC0162,Acute Care Hospital,Operating Room,ITEM00413,Medications,Oral Medications,Critical,Box,532,32.3,27.0,0.239,Stable,1.09,No,45,1239,1.4,3.6,29.2,3,VND021,3.4,24,25.1,1.1,Yes,1,No,Yes,27.5,No,84,0
SC00000050,2021-03-22,FAC0074,Long-Term Care,Sterile Processing,ITEM00444,PPE,Protective Gowns,Medium,Bag,1898,177.1,160.7,0.02,Stable,1.04,No,4994,1386,28.2,360.3,7.6,7,VND061,2.3,4,5.8,0.8,No,2,Yes,No,48.1,No,97,0
SC00000051,2022-10-13,FAC0198,Specialty Hospital,Pharmacy,ITEM00138,PPE,Masks & Respirators,Medium,Each,1127,35.6,32.9,0.462,Stable,1.05,No,32,341,0.9,9.4,4.9,14,VND057,3.1,2,2.0,1.9,Yes,0,No,No,64.9,No,434,0
SC00000052,2022-07-11,FAC0083,Acute Care Hospital,Operating Room,ITEM00358,Surgical Supplies,Drapes & Gowns,High,Each,1193,19.4,27.1,0.389,Stable,1.04,No,178,209,9.2,85.2,7.4,3,VND034,3.5,4,4.9,0.5,Yes,1,No,No,86.5,No,182,0
SC00000053,2023-05-30,FAC0059,Long-Term Care,Emergency Department,ITEM00087,Surgical Supplies,Sponges & Gauze,Medium,Roll,692,24.1,28.7,0.281,Stable,0.97,No,1306,512,54.2,255.1,19.7,7,VND023,2.5,12,16.0,2.7,Yes,0,No,Yes,58.5,No,202,0
SC00000054,2021-03-30,FAC0102,Acute Care Hospital,Labor & Delivery,ITEM00108,Wound Care,Negative Pressure Therapy,Low,Each,867,9.7,8.7,0.6,Stable,1.06,No,190,187,19.6,101.6,14.3,21,VND078,4.1,11,10.9,2.4,Yes,3,Yes,No,64.2,No,264,0
SC00000055,2023-09-08,FAC0108,Acute Care Hospital,ICU,ITEM00380,PPE,Eye Protection,Medium,Case,848,121.6,88.0,0.442,Stable,0.99,No,1046,1113,8.6,94.0,9.3,14,VND034,3.5,4,4.9,3.4,No,1,No,No,71.5,No,101,0
SC00000056,2022-01-10,FAC0059,Long-Term Care,Med-Surg,ITEM00394,PPE,Gloves,Low,Box,1196,69.4,67.8,0.258,Stable,1.02,Yes,4934,508,71.1,971.3,5.6,7,VND061,2.3,4,3.7,0.9,No,2,No,Yes,59.2,No,55,0
SC00000057,2021-12-08,FAC0183,Ambulatory Surgery Center,Pre/Post-Op,ITEM00057,Surgical Supplies,Sutures & Staples,Medium,Case,1263,10.0,13.0,0.139,Stable,0.84,No,19,232,1.9,8.2,12.7,7,VND080,4.6,12,11.2,0.5,Yes,1,No,Yes,66.9,No,154,0
SC00000058,2022-05-12,FAC0145,Ambulatory Surgery Center,Operating Room,ITEM00309,PPE,Masks & Respirators,High,Each,653,25.0,28.8,0.533,Stable,0.85,No,2442,1129,97.7,216.3,28.5,14,VND019,4.4,21,25.0,1.5,No,0,No,Yes,46.0,No,367,0
SC00000059,2021-06-25,FAC0004,Acute Care Hospital,Med-Surg,ITEM00287,Lab Consumables,Slides & Stains,Medium,Case,30,33.8,42.7,0.418,Stable,1.03,No,727,368,21.5,197.6,5.7,7,VND043,3.5,4,4.3,0.4,No,2,No,Yes,76.1,Yes,16,0
SC00000060,2022-01-21,FAC0157,Ambulatory Surgery Center,Pre/Post-Op,ITEM00362,PPE,Gloves,Medium,Each,1169,45.3,44.9,0.085,Increasing,1.04,No,100,955,2.2,10.5,25.4,1,VND020,2.6,18,23.2,1.2,Yes,2,No,Yes,36.9,No,48,0
SC00000061,2021-11-15,FAC0145,Ambulatory Surgery Center,Operating Room,ITEM00433,PPE,Masks & Respirators,Medium,Each,1453,81.0,107.2,0.364,Decreasing,0.97,No,729,2034,9.0,35.8,18.6,7,VND079,3.3,13,14.9,2.7,Yes,0,No,Yes,47.5,No,84,0
SC00000062,2024-11-19,FAC0059,Long-Term Care,Operating Room,ITEM00271,PPE,Eye Protection,Low,Each,219,137.7,121.6,0.312,Stable,1.11,No,3677,1277,26.7,287.9,12.1,7,VND027,4.5,7,8.1,3.0,Yes,1,No,Yes,47.5,No,97,0
SC00000063,2022-02-11,FAC0067,Acute Care Hospital,Med-Surg,ITEM00285,Lab Consumables,Collection Tubes,High,Vial,85,64.8,81.1,0.313,Increasing,1.15,Yes,408,1590,6.3,25.7,9.3,14,VND002,4.3,7,7.0,0.3,No,0,No,Yes,70.0,No,39,1
SC00000064,2021-04-13,FAC0109,Ambulatory Surgery Center,Sterile Processing,ITEM00443,IV & Fluids,Irrigation Solutions,Critical,Case,284,57.0,46.1,0.772,Decreasing,0.89,No,450,622,7.9,72.3,8.7,7,VND034,3.5,4,3.3,2.4,No,1,No,Yes,75.3,No,97,1
SC00000065,2022-07-04,FAC0159,Outpatient Clinic,Procedure Room,ITEM00197,IV & Fluids,Crystalloid Solutions,Medium,Bag,126,11.8,11.7,0.133,Stable,0.85,No,100,242,8.5,41.3,14.3,14,VND055,4.1,11,10.9,2.4,Yes,1,No,Yes,58.2,No,130,0
SC00000066,2023-01-02,FAC0003,Acute Care Hospital,Pharmacy,ITEM00332,PPE,Protective Gowns,High,Box,672,105.2,112.3,0.293,Stable,0.93,Yes,4587,3380,43.6,135.7,19.6,7,VND020,2.6,18,16.4,1.2,Yes,0,No,No,93.1,No,122,0
SC00000067,2023-02-15,FAC0168,Ambulatory Surgery Center,Sterile Processing,ITEM00430,Implants & Prosthetics,Ophthalmic,Medium,Each,1875,2.8,2.1,0.455,Stable,0.98,No,23,13,8.2,176.9,5.0,7,VND057,3.1,2,2.4,1.6,Yes,2,Yes,No,22.0,No,7,0
SC00000068,2021-05-27,FAC0046,Acute Care Hospital,Emergency Department,ITEM00308,IV & Fluids,Blood Products,High,Box,354,60.4,50.7,0.205,Stable,1.13,No,3854,639,63.8,603.1,4.5,14,VND057,3.1,2,1.9,0.6,Yes,2,No,Yes,80.7,No,316,0
SC00000069,2021-01-22,FAC0056,Specialty Hospital,Med-Surg,ITEM00006,PPE,Masks & Respirators,High,Each,1071,46.1,32.5,0.226,Stable,0.97,No,2918,341,63.3,855.7,6.9,7,VND034,3.5,4,3.8,1.1,Yes,1,No,Yes,72.9,No,231,0
SC00000070,2021-06-15,FAC0006,Ambulatory Surgery Center,Operating Room,ITEM00140,PPE,Protective Gowns,High,Each,1819,181.1,170.6,0.223,Stable,1.04,No,1123,3702,6.2,30.3,17.7,7,VND077,2.8,12,13.2,2.5,Yes,1,No,Yes,63.0,No,119,1
SC00000071,2023-11-21,FAC0181,Acute Care Hospital,Oncology,ITEM00181,Medications,Controlled Substances,Critical,Bag,506,15.8,12.2,0.21,Stable,0.94,No,258,626,16.3,41.2,21.2,21,VND020,2.6,18,18.0,0.2,No,3,No,Yes,68.3,No,76,1
SC00000072,2021-09-14,FAC0103,Specialty Hospital,Oncology,ITEM00403,PPE,Eye Protection,High,Case,1522,114.0,146.3,0.127,Stable,0.89,No,809,3175,7.1,25.5,16.3,7,VND023,2.5,12,13.4,0.9,Yes,2,No,No,46.2,No,121,0
SC00000073,2023-11-13,FAC0045,Acute Care Hospital,ICU,ITEM00122,Surgical Supplies,Drapes & Gowns,Medium,Box,1002,35.3,33.0,0.208,Stable,1.06,No,282,721,8.0,39.1,16.5,14,VND023,2.5,12,14.9,0.6,Yes,2,No,Yes,91.5,No,164,1
SC00000074,2023-08-09,FAC0142,Acute Care Hospital,Emergency Department,ITEM00094,Medications,IV Medications,High,Kit,436,15.9,19.1,0.02,Stable,1.1,No,227,94,14.3,241.5,5.8,3,VND057,3.1,2,2.0,1.8,No,1,No,Yes,39.5,No,44,0
SC00000075,2021-07-21,FAC0004,Acute Care Hospital,Operating Room,ITEM00189,Surgical Supplies,Sponges & Gauze,Medium,Case,933,18.5,18.0,0.266,Stable,0.98,No,154,279,8.3,55.2,12.6,7,VND070,4.3,10,10.5,1.1,Yes,3,No,Yes,91.2,No,94,0
SC00000076,2021-10-08,FAC0024,Ambulatory Surgery Center,Sterile Processing,ITEM00280,IV & Fluids,Crystalloid Solutions,Critical,Each,47,39.1,42.2,0.666,Decreasing,0.85,No,352,874,9.0,40.3,13.2,7,VND083,3.4,8,8.3,1.9,Yes,4,No,No,55.8,Yes,15,0
SC00000077,2023-12-20,FAC0162,Acute Care Hospital,Laboratory,ITEM00309,PPE,Masks & Respirators,High,Each,653,35.5,32.4,0.182,Stable,1.08,No,973,862,27.4,112.9,13.7,14,VND080,4.6,12,11.1,0.6,No,2,No,Yes,65.6,No,19,0
SC00000078,2022-08-08,FAC0139,Specialty Hospital,ICU,ITEM00441,Medications,IV Medications,High,Roll,276,14.0,11.3,0.389,Stable,1.08,No,265,340,18.9,77.9,32.1,7,VND020,2.6,18,22.3,7.8,No,1,No,Yes,93.4,No,324,1
SC00000079,2022-05-13,FAC0148,Acute Care Hospital,Sterile Processing,ITEM00025,PPE,Masks & Respirators,High,Case,302,112.8,133.5,0.095,Decreasing,0.91,No,3497,2710,31.0,129.0,5.9,21,VND043,3.5,4,3.9,0.0,Yes,2,No,No,40.2,No,200,0
SC00000080,2023-02-08,FAC0145,Ambulatory Surgery Center,Pre/Post-Op,ITEM00285,Lab Consumables,Collection Tubes,High,Vial,85,68.3,67.0,0.107,Increasing,1.06,Yes,451,3283,6.6,13.7,24.3,28,VND019,4.4,21,21.8,0.5,Yes,1,No,Yes,45.3,No,52,1
SC00000081,2024-07-03,FAC0038,Specialty Hospital,Laboratory,ITEM00194,PPE,Protective Gowns,Low,Case,929,301.3,321.5,0.154,Stable,1.12,No,271,2733,0.9,9.9,10.8,7,VND040,3.5,5,6.3,3.5,Yes,0,No,Yes,90.0,No,27,0
SC00000082,2021-12-30,FAC0068,Acute Care Hospital,Sterile Processing,ITEM00261,IV & Fluids,TPN Components,Medium,Roll,254,75.8,80.4,0.285,Stable,0.95,No,5943,1572,78.4,378.1,13.1,14,VND070,4.3,10,11.6,0.5,Yes,0,No,No,74.3,No,24,0
SC00000083,2022-09-19,FAC0039,Ambulatory Surgery Center,Sterile Processing,ITEM00312,Lab Consumables,Reagents & Test Kits,Low,Case,170,24.6,30.7,0.052,Decreasing,0.88,No,162,553,6.6,29.3,6.3,28,VND043,3.5,4,4.3,1.0,Yes,1,No,Yes,33.4,No,350,0
SC00000084,2021-01-29,FAC0138,Specialty Hospital,Med-Surg,ITEM00190,Implants & Prosthetics,Cardiovascular Implants,High,Vial,1660,1.7,2.0,0.403,Increasing,1.03,No,69,29,40.8,237.9,12.2,7,VND066,3.7,7,8.9,1.3,No,4,Yes,Yes,46.7,No,65,0
SC00000085,2022-09-26,FAC0130,Acute Care Hospital,Emergency Department,ITEM00008,Surgical Supplies,Sutures & Staples,High,Box,409,31.2,29.1,0.505,Stable,1.0,No,2942,1059,94.3,277.8,19.3,28,VND080,4.6,12,13.7,3.6,No,2,No,Yes,67.6,No,46,0
SC00000086,2021-12-02,FAC0014,Specialty Hospital,Emergency Department,ITEM00183,Surgical Supplies,Sponges & Gauze,High,Roll,991,40.8,47.0,0.228,Increasing,0.96,No,1248,1645,30.6,75.9,22.4,14,VND020,2.6,18,17.0,3.4,No,1,No,Yes,63.9,No,97,0
SC00000087,2023-08-25,FAC0095,Ambulatory Surgery Center,Operating Room,ITEM00435,Lab Consumables,PCR Consumables,Medium,Vial,167,58.9,43.9,0.359,Stable,1.05,No,524,454,8.9,115.4,3.6,14,VND057,3.1,2,2.1,0.5,Yes,0,No,Yes,79.3,No,495,0
SC00000088,2024-02-28,FAC0148,Acute Care Hospital,Sterile Processing,ITEM00080,IV & Fluids,Irrigation Solutions,Medium,Case,274,49.3,55.0,0.548,Increasing,1.23,No,256,1107,5.2,23.1,17.2,7,VND073,4.4,14,14.2,2.0,Yes,1,No,Yes,81.2,No,63,1
SC00000089,2022-03-11,FAC0118,Outpatient Clinic,Outpatient Pharmacy,ITEM00029,Implants & Prosthetics,Cardiovascular Implants,High,Each,1670,2.7,3.1,0.341,Stable,1.12,No,63,85,23.5,74.1,28.0,3,VND020,2.6,18,25.7,0.3,No,2,Yes,No,40.7,No,71,0
SC00000090,2021-09-10,FAC0162,Acute Care Hospital,Laboratory,ITEM00249,Surgical Supplies,Needles & Syringes,High,Bag,398,12.5,11.5,0.273,Stable,0.92,No,80,233,6.4,34.3,18.7,1,VND073,4.4,14,14.5,2.2,Yes,0,No,No,69.7,No,30,0
